Location,Location_Type,Fatal_Crashes,Injury_Crashes,NonInjury_Crashes,Total_Crashes,Persons_Killed,District,Road_Name,Year,Category,Time_Period,Victim_Type
Barakhamba Road,Road,2,,,5,2,Unknown,Barakhamba Road,2022,District Road,All,All
Panchkuian Road,Road,2,,,5,2,Unknown,Panchkuian Road,2022,District Road,All,All
Tilak Marg,Road,2,,,4,2,Unknown,Tilak Marg,2022,District Road,All,All
Outer Ring Road,Road,27,,,97,27,Unknown,Outer Ring Road,2022,District Road,All,All
Ring Road,Road,9,,,44,9,Unknown,Ring Road,2022,District Road,All,All
Burari Road,Road,4,,,10,4,Unknown,Burari Road,2022,District Road,All,All
Wazirabad Road,Road,4,,,9,4,Unknown,Wazirabad Road,2022,District Road,All,All
Raja Ram Marg,Road,4,,,9,4,Unknown,Raja Ram Marg,2022,District Road,All,All
Old Rohtak Road,Road,4,,,7,4,Unknown,Old Rohtak Road,2022,District Road,All,All
SPM Marg,Road,4,,,5,4,Unknown,SPM Marg,2022,District Road,All,All
Roshanara Road,Road,3,,,12,3,Unknown,Roshanara Road,2022,District Road,All,All
Road No 40,Road,2,,,16,2,Unknown,Road No 40,2022,District Road,All,All
Rajpur Road,Road,2,,,12,2,Unknown,Rajpur Road,2022,District Road,All,All
Wazirabad Road,Road,21,,,96,22,Unknown,Wazirabad Road,2022,District Road,All,All
Grand Trunk Road,Road,13,,,61,15,Unknown,Grand Trunk Road,2022,District Road,All,All
Pusta Road,Road,10,,,64,10,Unknown,Pusta Road,2022,District Road,All,All
Loni Road,Road,3,,,15,3,Unknown,Loni Road,2022,District Road,All,All
100 Foota Road,Road,2,,,3,2,Unknown,100 Foota Road,2022,District Road,All,All
Karawal Nagar Road,Road,1,,,11,1,Unknown,Karawal Nagar Road,2022,District Road,All,All
Tahirpur Road,Road,1,,,2,1,Unknown,Tahirpur Road,2022,District Road,All,All
Mandoli Road,Road,1,,,2,2,Unknown,Mandoli Road,2022,District Road,All,All
Road No 66,Road,0,,,11,0,Unknown,Road No 66,2022,District Road,All,All
Braham Puri Road,Road,0,,,4,0,Unknown,Braham Puri Road,2022,District Road,All,All
Grand Trunk Road,Road,12,,,37,12,Unknown,Grand Trunk Road,2022,District Road,All,All
Yamuna Pusta Road,Road,6,,,16,6,Unknown,Yamuna Pusta Road,2022,District Road,All,All
Road No 57,Road,3,,,14,3,Unknown,Road No 57,2022,District Road,All,All
Road No 56,Road,2,,,8,2,Unknown,Road No 56,2022,District Road,All,All
71 No Road,Road,2,,,6,2,Unknown,71 No Road,2022,District Road,All,All
Vikas Marg,Road,2,,,5,2,Unknown,Vikas Marg,2022,District Road,All,All
Road No 58,Road,2,,,4,2,Unknown,Road No 58,2022,District Road,All,All
Master Somanath Marg,Road,2,,,2,2,Unknown,Master Somanath Marg,2022,District Road,All,All
GTB Hospital Road,Road,1,,,4,1,Unknown,GTB Hospital Road,2022,District Road,All,All
Raja Ram Kohli Marg,Road,1,,,3,1,Unknown,Raja Ram Kohli Marg,2022,District Road,All,All
Ring Road,Road,33,,,82,33,Unknown,Ring Road,2022,District Road,All,All
Outer Ring Road,Road,32,,,80,33,Unknown,Outer Ring Road,2022,District Road,All,All
GTK Road,Road,14,,,67,14,Unknown,GTK Road,2022,District Road,All,All
51 No Road,Road,4,,,14,4,Unknown,51 No Road,2022,District Road,All,All
Lawrance Road,Road,2,,,10,2,Unknown,Lawrance Road,2022,District Road,All,All
Swami Narain Marg,Road,1,,,10,1,Unknown,Swami Narain Marg,2022,District Road,All,All
Road No 37,Road,1,,,4,1,Unknown,Road No 37,2022,District Road,All,All
Road No 43,Road,1,,,2,1,Unknown,Road No 43,2022,District Road,All,All
Road No 41,Road,1,,,1,1,Unknown,Road No 41,2022,District Road,All,All
Satyawati Road,Road,1,,,1,1,Unknown,Satyawati Road,2022,District Road,All,All
Rohtak Road,Road,44,,,149,45,Unknown,Rohtak Road,2022,District Road,All,All
Outer Ring Road,Road,21,,,60,21,Unknown,Outer Ring Road,2022,District Road,All,All
Najafgarh Nangloi Road,Road,3,,,22,3,Unknown,Najafgarh Nangloi Road,2022,District Road,All,All
Kanjhawala Road,Road,1,,,6,1,Unknown,Kanjhawala Road,2022,District Road,All,All
Road No 43,Road,1,,,3,1,Unknown,Road No 43,2022,District Road,All,All
Road No 30,Road,1,,,2,1,Unknown,Road No 30,2022,District Road,All,All
Parwana Road,Road,1,,,2,1,Unknown,Parwana Road,2022,District Road,All,All
Kirari Road,Road,0,,,1,0,Unknown,Kirari Road,2022,District Road,All,All
Balbir Singh Marg,Road,0,,,1,0,Unknown,Balbir Singh Marg,2022,District Road,All,All
GTK Road,Road,51,,,114,56,Unknown,GTK Road,2022,District Road,All,All
Bawana Road,Road,28,,,79,28,Unknown,Bawana Road,2022,District Road,All,All
Narela Road,Road,9,,,29,9,Unknown,Narela Road,2022,District Road,All,All
Palla Road,Road,5,,,13,5,Unknown,Palla Road,2022,District Road,All,All
Bawana Auchandi Road,Road,5,,,7,5,Unknown,Bawana Auchandi Road,2022,District Road,All,All
Burari Road,Road,2,,,5,2,Unknown,Burari Road,2022,District Road,All,All
Outer Ring Road,Road,2,,,3,2,Unknown,Outer Ring Road,2022,District Road,All,All
Alipur Road,Road,1,,,11,1,Unknown,Alipur Road,2022,District Road,All,All
DSIDC Narela Road,Road,1,,,8,1,Unknown,DSIDC Narela Road,2022,District Road,All,All
Kanjhawala Road,Road,1,,,3,1,Unknown,Kanjhawala Road,2022,District Road,All,All
Kanjhawala Road,Road,8,,,21,8,Unknown,Kanjhawala Road,2022,District Road,All,All
Bhagwan Mahavir Marg,Road,4,,,21,4,Unknown,Bhagwan Mahavir Marg,2022,District Road,All,All
Qutab Garh Road,Road,2,,,4,2,Unknown,Qutab Garh Road,2022,District Road,All,All
Road No 41,Road,1,,,5,1,Unknown,Road No 41,2022,District Road,All,All
Dinbandhu Chhote Ram Marg,Road,1,,,2,1,Unknown,Dinbandhu Chhote Ram Marg,2022,District Road,All,All
Rithala Road,Road,0,,,2,0,Unknown,Rithala Road,2022,District Road,All,All
Parwana Road,Road,0,,,1,0,Unknown,Parwana Road,2022,District Road,All,All
Maharaja Agarsen Road,Road,0,,,1,0,Unknown,Maharaja Agarsen Road,2022,District Road,All,All
Begumpur Road,Road,0,,,1,0,Unknown,Begumpur Road,2022,District Road,All,All
Awantika Road,Road,0,,,1,0,Unknown,Awantika Road,2022,District Road,All,All
Mehrauli Badarpur Road,Road,10,,,34,10,Unknown,Mehrauli Badarpur Road,2022,District Road,All,All
Mehrauli Gurgaon Road,Road,9,,,33,9,Unknown,Mehrauli Gurgaon Road,2022,District Road,All,All
Aurobindo Marg,Road,6,,,24,6,Unknown,Aurobindo Marg,2022,District Road,All,All
Ring Road,Road,4,,,20,6,Unknown,Ring Road,2022,District Road,All,All
Press Enclave Marg,Road,4,,,9,4,Unknown,Press Enclave Marg,2022,District Road,All,All
Outer Ring Road,Road,3,,,30,3,Unknown,Outer Ring Road,2022,District Road,All,All
Lala Lajpat Rai Path,Road,3,,,8,3,Unknown,Lala Lajpat Rai Path,2022,District Road,All,All
Anuvrat Road,Road,2,,,5,2,Unknown,Anuvrat Road,2022,District Road,All,All
100 Foota Chhattar Pur Road,Road,2,,,3,2,Unknown,100 Foota Chhattar Pur Road,2022,District Road,All,All
Lal Bhadur Shastri Marg,Road,1,,,17,1,Unknown,Lal Bhadur Shastri Marg,2022,District Road,All,All
Mathura Road,Road,26,,,110,26,Unknown,Mathura Road,2022,District Road,All,All
Ring Road,Road,16,,,55,17,Unknown,Ring Road,2022,District Road,All,All
Mehrauli Badarpur Road,Road,10,,,11,10,Unknown,Mehrauli Badarpur Road,2022,District Road,All,All
Anand Mai Marg,Road,8,,,42,8,Unknown,Anand Mai Marg,2022,District Road,All,All
Agra Canal Road,Road,6,,,21,6,Unknown,Agra Canal Road,2022,District Road,All,All
13A No Road,Road,6,,,18,6,Unknown,13A No Road,2022,District Road,All,All
Jaitpur Road,Road,4,,,4,4,Unknown,Jaitpur Road,2022,District Road,All,All
Outer Ring Road,Road,3,,,21,3,Unknown,Outer Ring Road,2022,District Road,All,All
Okhla Road,Road,3,,,6,3,Unknown,Okhla Road,2022,District Road,All,All
Lala Lajpat Rai Path,Road,2,,,19,3,Unknown,Lala Lajpat Rai Path,2022,District Road,All,All
NH-8,Road,29,,,84,30,Unknown,NH-8,2022,District Road,All,All
Ring Road,Road,15,,,47,15,Unknown,Ring Road,2022,District Road,All,All
Outer Ring Road,Road,10,,,33,11,Unknown,Outer Ring Road,2022,District Road,All,All
Bijwasan Road,Road,7,,,16,7,Unknown,Bijwasan Road,2022,District Road,All,All
201 No. Road,Road,5,,,19,5,Unknown,201 No. Road,2022,District Road,All,All
Old Gurgaon Road,Road,4,,,9,4,Unknown,Old Gurgaon Road,2022,District Road,All,All
Mahipal Pur Road,Road,3,,,19,3,Unknown,Mahipal Pur Road,2022,District Road,All,All
Rao Tula Ram Marg,Road,3,,,15,3,Unknown,Rao Tula Ram Marg,2022,District Road,All,All
Thimayya Marg,Road,3,,,7,3,Unknown,Thimayya Marg,2022,District Road,All,All
Nelson Mandela Marg,Road,2,,,4,2,Unknown,Nelson Mandela Marg,2022,District Road,All,All
Ring Road,Road,30,,,65,30,Unknown,Ring Road,2022,District Road,All,All
Rohtak Road,Road,19,,,42,19,Unknown,Rohtak Road,2022,District Road,All,All
Najafgarh Road,Road,13,,,63,13,Unknown,Najafgarh Road,2022,District Road,All,All
